Company Name,Job Title,Skills Requirements,Location,Mode,Job Description,Special Requirements,Duration,JobType
Microsoft,SDE Intern (Frontend),"['TypeScript', ' React.js', ' Redux', ' GraphQL', ' CSS-in-JS']",Bengaluru,Hybrid,"Join the Microsoft 365 team to build intuitive and performant user experiences. Your role will involve: • Developing, testing, and deploying new user-facing features for web applications like Outlook or Teams. • Collaborating with UX designers and product managers to translate mockups into high-quality code.",A strong portfolio or GitHub profile showcasing modern frontend projects is mandatory.,6,SDE
Deloitte,Data Analytics & Strategy Intern,"['SQL', ' Python (Pandas)', ' Tableau', ' Power BI', ' Business Acumen']",Pune,Offline,Work within our Technology Consulting practice to help clients solve complex business problems using data. You will: • Analyze large datasets to identify trends and provide actionable insights for clients in various industries. • Develop interactive dashboards and visualizations to communicate findings to stakeholders.,"Final year students from a quantitative field (Stats, Eco, Engg) are preferred.",3,SDE
IBM,Cybersecurity Analyst Intern,"['Network Security', ' SIEM tools (QRadar)', ' VAPT', ' Python', ' Linux']",Delhi,Hybrid,"Become a part of IBM's Security Operations Center (SOC) to help protect our infrastructure from cyber threats. Responsibilities include: • Monitoring security alerts, investigating incidents, and responding to potential threats. • Assisting in vulnerability assessments and penetration testing exercises.",Certifications like CEH (Practical) or OSCP are a major plus.,6,CYBERSECURITY
Nokia,5G RAN Software Intern,"['C++', ' Python', ' Linux', ' Telecommunications', ' LTE/5G Protocols']",Mumbai,Offline,"Contribute to the development of next-generation 5G Radio Access Network (RAN) software. You will: • Write and debug code for real-time, high-performance embedded systems. • Participate in the design and implementation of new features for our 5G base stations.","Pursuing a degree in ECE, CS, or a related field. Strong C++ skills are essential.",6,DATA_ENGINEER
L&T,IoT Solutions Developer Intern,"['Python', ' C++', ' Raspberry Pi/Arduino', ' MQTT', ' Azure IoT Hub']",Mumbai,Offline,Join L&T's Smart World & Communication division to build innovative IoT solutions for smart cities. You will: • Develop and test firmware for IoT devices and sensors. • Build cloud-based applications to process and visualize data from IoT deployments.,Hands-on experience with IoT hardware projects is highly desirable.,6,SDE
Microsoft,Cloud Solutions Engineer Intern,"['Azure (VMs', ' Blob Storage)', ' PowerShell', ' ARM Templates', ' Docker']",Remote,Online,Work with the Azure engineering team to help customers adopt and utilize cloud services effectively. You will: • Develop scripts and automation tools to streamline cloud deployment and management. • Assist in creating technical documentation and solution architecture diagrams.,Microsoft Azure Fundamentals (AZ-900) certification is a strong advantage.,4,CLOUD
Deloitte,Tech Consulting - SAP Intern,"['SAP ERP', ' ABAP Basics', ' Business Process Knowledge']",Mumbai,Offline,"Join our Enterprise Technology practice to assist in large-scale SAP implementation projects. You will: • Help configure SAP modules (like FICO, MM) based on client requirements. • Support the technical team in data migration and report development activities.",Open to final year students from any engineering or business background with a keen interest in ERP systems.,6,SDE
Reliance,Machine Learning Engineer Intern,"['Python', ' TensorFlow/PyTorch', ' Scikit-learn', ' NLP', ' Computer Vision']",Gurugram,Hybrid,"Be a part of Jio's AI Center of Excellence to build and deploy machine learning models at scale. Your tasks will include: • Training, testing, and optimizing ML models for various use cases like recommendation engines or chatbots. • Working with MLOps tools to deploy models into production.",Previous internship or significant project experience in machine learning is required.,6,SDE
Nokia,Embedded Systems Intern,"['C', ' C++', ' RTOS', ' Linux Kernel', ' JTAG/GDB Debugging']",Remote,Online,Develop firmware and device drivers for our carrier-grade networking equipment. You will be responsible for: • Writing low-level code that interacts directly with hardware components. • Debugging complex issues in a real-time operating system environment.,Strong understanding of computer architecture and operating systems is crucial.,6,SDE
Microsoft,Gaming AR/VR Developer Intern,"['C#', ' Unity/Unreal Engine', ' 3D Math', ' VR/AR SDKs (Quest', ' HoloLens)']",Pune,Hybrid,Join the Xbox Game Studios team to work on cutting-edge augmented and virtual reality experiences. You will: • Develop and prototype game mechanics and interactive features in a 3D environment. • Optimize performance to ensure a smooth and immersive user experience on target hardware.,A playable demo or a portfolio of AR/VR projects is required for application.,6,GAME_DEV
