Company Name,Job Title,Skills Requirements,Location,Mode,Job Description,Special Requirements,Duration,Type
Microsoft,SDE Intern (Frontend),"['HTML', ' CSS', ' JavaScript', ' React.js', ' Redux', ' Git']",Bengaluru,Hybrid,Build and optimize responsive user-facing features for our web application.,A strong portfolio or GitHub profile showcasing projects is mandatory.,4,Software Development
Deloitte,Data Analyst Intern,"['SQL', ' Python (Pandas)', ' MS Excel', ' Tableau/Power BI', ' Statistics']",Pune,Offline,"Query databases, clean datasets, and build dashboards to track key performance indicators.","Final year students from a quantitative field (Stats, Eco, Engg) are preferred.",3,Data & Analytics
Deloitte,Cybersecurity Intern,"['Network Security', ' VAPT', ' Wireshark', ' Metasploit', ' Linux']",Delhi,Hybrid,Assist the security team in vulnerability assessments and penetration testing of our network.,Certifications like CEH (Practical) or OSCP are a major plus.,6,Software Development
Nokia,Brand Marketing Intern,"['Market Research', ' Content Strategy', ' Social Media', ' Brand Voice']",Mumbai,Offline,"Support brand campaigns, conduct competitor analysis, and help create a consistent brand narrative.",Creative mindset with excellent communication and presentation skills.,3,Business Administration
L&T,Civil Engineer Intern (Structures),"['STAAD.Pro', ' ETABS', ' AutoCAD', ' Structural Analysis']",Mumbai,Offline,Assist in the design and analysis of steel and concrete structures for commercial projects.,Must be willing to make occasional site visits. Safety training will be provided.,6,Engineering
Microsoft,iOS App Developer Intern,"['Swift', ' SwiftUI', ' Xcode', ' REST APIs', ' Core Data']",Remote,Online,Develop new features for our iOS application and help maintain the existing codebase.,Must own a Mac device for development. Prior app on the App Store is a plus.,4,Software Development
Deloitte,Investment Banking Analyst Intern,"['Financial Modeling', ' DCF', ' M&A Analysis', ' Advanced Excel & PPT']",Mumbai,Offline,"Support deal execution teams by preparing financial models, pitch books, and industry research.",Hiring Focus: Candidates from Tier-1 Engineering and Business schools only.,2,Business Administration
Reliance,Learning & Development Intern,"['Content Creation', ' LMS Management', ' Training Coordination', ' Canva']",Gurugram,Hybrid,"Help design e-learning modules, schedule training sessions, and track employee progress.",Interest in corporate training and instructional design is essential.,4,Business Administration
Nokia,SEO Analyst Intern,"['Google Analytics', ' SEMrush/Ahrefs', ' Keyword Research', ' On-page/Off-page SEO']",Remote,Online,"Conduct keyword research, analyze website traffic, and assist in implementing SEO strategies.",Published articles or personal blog with demonstrated SEO success is a strong advantage.,3,Business Administration
Microsoft,Game Developer Intern (Unity),"['C#', ' Unity Engine', ' 3D Math', ' Game Physics']",Pune,Hybrid,"Work on game mechanics, character controls, and performance optimization for our new mobile game.",A playable demo or a portfolio of game projects is required for application.,6,Game Development
Samsung,Business Development Intern,"['Lead Generation', ' CRM (Salesforce)', ' Market Research', ' Cold Calling']",Delhi,Offline,"Identify potential clients, qualify leads, and support the sales team in achieving targets.",Excellent communication skills and a target-driven attitude are crucial.,3,Business Administration
Oracle,QA Tester Intern,"['Manual Testing', ' Automation (Selenium)', ' Test Case Writing', ' JIRA']",Hyderabad,Offline,"Execute test cases, report bugs, and work closely with developers to ensure software quality.",A keen eye for detail is non-negotiable for this role.,4,Software Testing
L&T,Aerospace Engineer Intern,"['CFD', ' Ansys Fluent', ' CATIA/SolidWorks', ' Thermodynamics']",Bengaluru,Offline,Perform computational fluid dynamics simulations for aerodynamic components.,Pursuing M.Tech or final year B.Tech in Aerospace/Aeronautical Engineering.,6,Engineering
Reliance,Journalism Intern,"['Reporting', ' AP Style Writing', ' Interviewing', ' Fact-Checking']",Delhi,Hybrid,"Pitch story ideas, conduct interviews, and write articles for our digital news portal.",Diversity Hiring: We are actively seeking candidates from underrepresented communities.,3,Creative & Media
Samsung,Android Developer Intern,"['Kotlin', ' Android Studio', ' Jetpack Compose', ' REST APIs']",Bengaluru,Hybrid,Contribute to the development of our flagship Android application.,Please share your GitHub profile along with your resume.,4,Software Development
Adani,Legal Associate Intern,"['Legal Research', ' Drafting Contracts', ' Case Law Analysis', ' MS Word']",Mumbai,Offline,"Assist the corporate legal team with research, document review, and drafting agreements.",Open to students in their 4th or 5th year of a 5-year LLB program.,2,Legal & Compliance
Oracle,BI Engineer Intern,"['SQL', ' SSIS/ETL Processes', ' Power BI', ' Data Warehousing concepts']",Chennai,Hybrid,Design and develop ETL pipelines and create insightful business intelligence reports.,Strong SQL skills will be tested during the interview process.,6,Data & Analytics
Microsoft,Graphic Design Intern,"['Adobe Creative Suite (Photoshop', ' Illustrator', ' InDesign)', ' Canva']",Remote,Online,"Create visually appealing graphics for social media, websites, and marketing collateral.",A portfolio link must be included at the top of your resume.,3,Creative & Media
Oracle,FinTech Product Intern,"['UPI/Payments Knowledge', ' API Documentation', ' User Stories', ' JIRA']",Bengaluru,Offline,Analyze market needs for new financial products and write product requirement documents.,Prior experience or deep interest in the Indian payments ecosystem is a must.,4,Business Administration
Intel,Electrical Engineer Intern,"['PLC Programming', ' SCADA', ' AutoCAD Electrical', ' Control Panels']",Ahmedabad,Offline,Assist in the design and testing of industrial automation and control systems.,Must be willing to work in a manufacturing plant environment.,6,Engineering
Samsung,Content Strategist Intern,"['Content Audits', ' SEO', ' Content Calendars', ' Analytics', ' Storytelling']",Remote,Online,Develop content strategies to meet business objectives and manage the editorial calendar.,Special Requirement: Submit a 500-word critique of our company's current blog strategy.,4,Business Administration
IBM,Blockchain Developer Intern,"['Solidity', ' Ethereum', ' Web3.js', ' Truffle/Hardhat', ' Smart Contracts']",Remote,Online,"Develop, test, and deploy smart contracts on the Ethereum blockchain for our DeFi project.",Demonstrable projects or contributions to Web3/DAO projects are highly valued.,6,Blockchain Development
Nokia,Talent Sourcer Intern,"['LinkedIn Recruiter', ' Boolean Search', ' Candidate Engagement', ' ATS']",Pune,Hybrid,Proactively identify and engage passive candidates for niche technical roles.,Inclusivity Focus: Actively hiring candidates from the LGBTQ+ community.,3,Business Administration
Reliance,Video Production Intern,"['Adobe Premiere Pro', ' After Effects', ' Camera Operation', ' Lighting']",Mumbai,Offline,"Assist in all stages of video production, from shooting to editing and post-production.",A showreel of previous video work is required for consideration.,4,Creative & Media
Oracle,Site Reliability Engineer Intern,"['Linux', ' Bash/Python Scripting', ' Prometheus', ' Grafana', ' CI/CD']",Hyderabad,Hybrid,Help improve the reliability and performance of our production systems through automation.,Strong understanding of operating systems and networking fundamentals.,6,DevOps and Cloud
Reliance,Chemical Process Intern,"['Aspen HYSYS', ' Process Simulation', ' P&ID Diagrams', ' Heat Transfer']",Vadodara,Offline,"Support process engineers in simulation, optimization, and troubleshooting of chemical processes.",Pursuing a degree in Chemical Engineering. Safety-first mindset.,6,Engineering
Adani,Public Relations Intern,"['Press Release Writing', ' Media List Building', ' Client Communication']",Delhi,Hybrid,"Assist in media outreach, track media coverage, and help prepare PR reports.",Excellent written and verbal communication skills are paramount.,3,Business Administration
